Result of /data/leuven/370/vsc37064/new_queries_named_graph_join_order/query_31.txt:
OpenLink Virtuoso Interactive SQL (Virtuoso)
Version 07.20.3240 as of Mar 11 2025
Type HELP; for help and EXIT; to exit.
Connected to OpenLink Virtuoso
Driver: 07.20.3240 OpenLink Virtuoso ODBC Driver
featureName                                                                       characteristicName                                                                frequency
LONG VARCHAR                                                                      LONG VARCHAR                                                                      LONG VARCHAR
_______________________________________________________________________________

FCFP6_1024_298                                                                                  FCFP6_1024_298 data-type                                                                                  1083
FCFP6_1024_350                                                                                  FCFP6_1024_350 number of missing values                                                                                  1083
FCFP6_1024_731                                                                                  FCFP6_1024_731 data-type                                                                                  1083
FCFP6_1024_914                                                                                  FCFP6_1024_914 number of missing values                                                                                  1083
FCFP6_1024_916                                                                                  FCFP6_1024_916 data-type                                                                                  1083
FCFP6_1024_203                                                                                  FCFP6_1024_203 data-type                                                                                  1083
FCFP6_1024_683                                                                                  FCFP6_1024_683 data-type                                                                                  1083
FCFP6_1024_683                                                                                  FCFP6_1024_683 number of missing values                                                                                  1083
FCFP6_1024_14                                                                                  FCFP6_1024_14 data-type                                                                                  1083
FCFP6_1024_515                                                                                  FCFP6_1024_515 number of missing values                                                                                  1083
FCFP6_1024_121                                                                                  FCFP6_1024_121 number of missing values                                                                                  1083
FCFP6_1024_138                                                                                  FCFP6_1024_138 number of missing values                                                                                  1083
FCFP6_1024_678                                                                                  FCFP6_1024_678 number of missing values                                                                                  1083
FCFP6_1024_249                                                                                  FCFP6_1024_249 data-type                                                                                  1083
FCFP6_1024_699                                                                                  FCFP6_1024_699 data-type                                                                                  1083
FCFP6_1024_349                                                                                  FCFP6_1024_349 data-type                                                                                  1083
FCFP6_1024_428                                                                                  FCFP6_1024_428 number of missing values                                                                                  1083
FCFP6_1024_982                                                                                  FCFP6_1024_982 data-type                                                                                  1083
FCFP6_1024_141                                                                                  FCFP6_1024_141 number of missing values                                                                                  1083
FCFP6_1024_639                                                                                  FCFP6_1024_639 data-type                                                                                  1083
FCFP6_1024_355                                                                                  FCFP6_1024_355 number of missing values                                                                                  1083
FCFP6_1024_729                                                                                  FCFP6_1024_729 number of missing values                                                                                  1083
FCFP6_1024_329                                                                                  FCFP6_1024_329 data-type                                                                                  1083
FCFP6_1024_102                                                                                  FCFP6_1024_102 number of missing values                                                                                  1083
FCFP6_1024_856                                                                                  FCFP6_1024_856 number of missing values                                                                                  1083
FCFP6_1024_770                                                                                  FCFP6_1024_770 number of missing values                                                                                  1083
FCFP6_1024_428                                                                                  FCFP6_1024_428 data-type                                                                                  1083
FCFP6_1024_1022                                                                                  FCFP6_1024_1022 number of missing values                                                                                  1083
FCFP6_1024_996                                                                                  FCFP6_1024_996 data-type                                                                                  1083
FCFP6_1024_192                                                                                  FCFP6_1024_192 data-type                                                                                  1083
FCFP6_1024_184                                                                                  FCFP6_1024_184 data-type                                                                                  1083
FCFP6_1024_923                                                                                  FCFP6_1024_923 number of missing values                                                                                  1083
FCFP6_1024_131                                                                                  FCFP6_1024_131 number of missing values                                                                                  1083
FCFP6_1024_628                                                                                  FCFP6_1024_628 data-type                                                                                  1083
FCFP6_1024_771                                                                                  FCFP6_1024_771 data-type                                                                                  1083
FCFP6_1024_993                                                                                  FCFP6_1024_993 data-type                                                                                  1083
FCFP6_1024_38                                                                                  FCFP6_1024_38 data-type                                                                                  1083
FCFP6_1024_55                                                                                  FCFP6_1024_55 data-type                                                                                  1083
FCFP6_1024_858                                                                                  FCFP6_1024_858 data-type                                                                                  1083
FCFP6_1024_656                                                                                  FCFP6_1024_656 number of missing values                                                                                  1083
FCFP6_1024_295                                                                                  FCFP6_1024_295 data-type                                                                                  1083
FCFP6_1024_721                                                                                  FCFP6_1024_721 number of missing values                                                                                  1083
FCFP6_1024_473                                                                                  FCFP6_1024_473 number of missing values                                                                                  1083
FCFP6_1024_174                                                                                  FCFP6_1024_174 number of missing values                                                                                  1083
FCFP6_1024_177                                                                                  FCFP6_1024_177 number of missing values                                                                                  1083
FCFP6_1024_798                                                                                  FCFP6_1024_798 number of missing values                                                                                  1083
FCFP6_1024_342                                                                                  FCFP6_1024_342 data-type                                                                                  1083
FCFP6_1024_614                                                                                  FCFP6_1024_614 data-type                                                                                  1083
FCFP6_1024_934                                                                                  FCFP6_1024_934 data-type                                                                                  1083
FCFP6_1024_946                                                                                  FCFP6_1024_946 data-type                                                                                  1083
FCFP6_1024_622                                                                                  FCFP6_1024_622 data-type                                                                                  1083
FCFP6_1024_468                                                                                  FCFP6_1024_468 data-type                                                                                  1083
FCFP6_1024_331                                                                                  FCFP6_1024_331 data-type                                                                                  1083
FCFP6_1024_439                                                                                  FCFP6_1024_439 number of missing values                                                                                  1083
FCFP6_1024_616                                                                                  FCFP6_1024_616 data-type                                                                                  1083
FCFP6_1024_537                                                                                  FCFP6_1024_537 data-type                                                                                  1083
FCFP6_1024_658                                                                                  FCFP6_1024_658 number of missing values                                                                                  1083
FCFP6_1024_760                                                                                  FCFP6_1024_760 number of missing values                                                                                  1083
FCFP6_1024_459                                                                                  FCFP6_1024_459 data-type                                                                                  1083
